"","year","social_capital","absence_exclusion","absence_capture","vdeminformal","btiinformal","informal_channels","vdeminstitutional","btiinstitutional","institutional_channels","vdemcso","bticso","intermediary_channels","civil_capacity","quality_interface","resilience","v2cagenmob","percept_civicspace","natgov_confidence"
"78",1866,NA,NA,-0.400928723184509,NA,NA,NA,-0.115475188231072,NA,NA,-0.291084482756662,NA,NA,NA,NA,NA,NA,NA,NA
"79",1867,NA,NA,-0.385482754900823,NA,NA,NA,-0.0676587571782396,NA,NA,-0.290946012504218,NA,NA,NA,NA,NA,NA,NA,NA
"80",1868,NA,NA,-0.386355199166641,NA,NA,NA,-0.0164491900282879,NA,NA,-0.277178973182079,NA,NA,NA,NA,NA,NA,NA,NA
"81",1869,NA,NA,-0.383943429509382,NA,NA,NA,0.00764369977135646,NA,NA,-0.258977875558865,NA,NA,NA,NA,NA,NA,NA,NA
"82",1870,NA,NA,-0.344896232868527,NA,NA,NA,-0.00683047254450137,NA,NA,-0.235199881562089,NA,NA,NA,NA,NA,NA,NA,NA
"83",1871,NA,NA,-0.335690656292354,NA,NA,NA,-0.000694161020020512,NA,NA,-0.206449486316679,NA,NA,NA,NA,NA,NA,NA,NA
"84",1872,NA,NA,-0.335670550263441,NA,NA,NA,0.00721346959636282,NA,NA,-0.186008639527388,NA,NA,NA,NA,NA,NA,NA,NA
"85",1873,NA,NA,-0.335670550263441,NA,NA,NA,0.0133288842266297,NA,NA,-0.186008639527388,NA,NA,NA,NA,NA,NA,NA,NA
"86",1874,NA,NA,-0.335670550263441,NA,NA,NA,0.00653739360708707,NA,NA,-0.186008639527388,NA,NA,NA,NA,NA,NA,NA,NA
"87",1875,NA,NA,-0.341570777979991,NA,NA,NA,-0.0166557005122849,NA,NA,-0.186008639527388,NA,NA,NA,NA,NA,NA,NA,NA
"88",1876,NA,NA,-0.349456550778976,NA,NA,NA,-0.0201314541730865,NA,NA,-0.178555266245349,NA,NA,NA,NA,NA,NA,NA,NA
"89",1877,NA,NA,-0.364951734629251,NA,NA,NA,-0.025931463085148,NA,NA,-0.197665574044323,NA,NA,NA,NA,NA,NA,NA,NA
"90",1878,NA,NA,-0.349903179474428,NA,NA,NA,-0.0380830191218411,NA,NA,-0.182022081989822,NA,NA,NA,NA,NA,NA,NA,NA
"91",1879,NA,NA,-0.349903179474428,NA,NA,NA,0.0217063213735999,NA,NA,-0.182022081989822,NA,NA,NA,NA,NA,NA,NA,NA
"92",1880,NA,NA,-0.344800014692402,NA,NA,NA,0.0351404694849212,NA,NA,-0.170269110228288,NA,NA,NA,NA,NA,NA,NA,NA
"93",1881,NA,NA,-0.345482896973635,NA,NA,NA,0.0362624422942183,NA,NA,-0.174998116617544,NA,NA,NA,NA,NA,NA,NA,NA
"94",1882,NA,NA,-0.335764076078554,NA,NA,NA,0.040927487132875,NA,NA,-0.169098449332908,NA,NA,NA,NA,NA,NA,NA,NA
"95",1883,NA,NA,-0.335764076078554,NA,NA,NA,0.0606505880963093,NA,NA,-0.145030356766019,NA,NA,NA,NA,NA,NA,NA,NA
"96",1884,NA,NA,-0.335764076078554,NA,NA,NA,0.0932763763666611,NA,NA,-0.140469415554812,NA,NA,NA,NA,NA,NA,NA,NA
"97",1885,NA,NA,-0.315466707160161,NA,NA,NA,0.0841336606909005,NA,NA,-0.133926464312814,NA,NA,NA,NA,NA,NA,NA,NA
